,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
22,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
23,21,Carmelo Anthony,SF,31,NYK,72,2530,,2%,91%,8%,,-0.8,5.7,80,41,73,30,154,6,704,25,76,2016
24,22,Joel Anthony,C,33,DET,19,96,,,,,100%,-7.7,-8.3,1,0,9,1,3,0,2,0,1,2016
25,23,Keith Appling,PG,23,ORL,5,27,56%,44%,,,,19.2,21.0,2,1,2,0,1,0,3,0,0,2016
26,24,Trevor Ariza,SF,30,HOU,81,2859,,,58%,41%,1%,0.7,2.4,68,18,52,9,65,5,456,9,38,2016
27,25,Darrell Arthur,PF,27,DEN,70,1516,,,1%,79%,21%,-1.8,2.1,36,11,99,12,26,5,217,5,21,2016
28,26,Ömer Aşık,C,29,NOP,68,1178,,,,9%,91%,-8.6,-6.7,23,15,60,16,53,5,60,5,38,2016
29,27,D.J. Augustin,PG,28,TOT,62,1178,100%,,,,,-1.1,-3.8,52,19,40,8,47,14,445,10,32,2016
30,27,D.J. Augustin,PG,28,OKC,34,519,100%,,,,,-1.5,-10.0,20,5,23,2,12,8,145,1,12,2016
31,27,D.J. Augustin,PG,28,DEN,28,659,100%,,,,,-0.9,2.7,32,14,17,6,35,6,300,9,20,2016
32,28,Jeff Ayres,C,28,LAC,17,107,,,,17%,83%,-20.8,-25.8,1,0,9,5,3,1,11,0,3,2016
33,29,Luke Babbitt,SF,26,NOP,47,845,,,28%,66%,6%,-3.0,1.2,7,8,40,6,22,3,124,6,25,2016
34,30,Cameron Bairstow,C,25,CHI,18,103,,,,34%,66%,-6.0,-4.5,1,2,11,1,3,1,13,0,5,2016
35,31,Leandro Barbosa,SG,33,GSW,68,1079,1%,85%,14%,,,2.8,-11.3,27,16,35,9,31,7,191,6,20,2016
36,32,J.J. Barea,PG,31,DAL,74,1667,100%,,,,,-2.2,-3.5,71,25,28,6,35,34,690,9,45,2016
37,33,Andrea Bargnani,C,30,BRK,46,634,,,,33%,67%,-14.7,-8.4,7,7,26,6,25,3,43,10,14,2016
38,34,Harrison Barnes,SF,23,GSW,66,2042,,,44%,55%,1%,10.4,-1.4,29,15,70,6,61,5,289,16,36,2016
39,35,Matt Barnes,SF,35,MEM,76,2190,,10%,73%,17%,,-4.8,-5.5,82,25,134,10,49,5,355,8,35,2016
40,36,Will Barton,SG,25,DEN,82,2353,20%,73%,8%,,,-2.9,0.6,59,45,53,13,104,11,454,28,58,2016
41,37,Brandon Bass,PF,30,LAL,66,1342,,,7%,90%,3%,-1.2,13.9,13,11,75,10,76,4,175,17,35,2016
42,38,Nicolas Batum,SF,27,CHO,70,2448,,10%,89%,1%,,4.5,4.2,134,37,45,17,61,4,955,15,27,2016
43,39,Jerryd Bayless,SG,27,MIL,52,1505,9%,67%,24%,,,-5.6,-2.5,42,12,58,4,31,13,367,8,20,2016
44,40,Aron Baynes,C,29,DET,81,1233,,,,2%,98%,-3.8,-6.0,11,18,73,28,64,4,124,11,26,2016
45,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
46,41,Kent Bazemore,SF,26,ATL,75,2083,,20%,79%,,,2.4,-2.6,65,42,71,14,65,18,380,15,37,2016
47,42,Bradley Beal,SG,22,WAS,55,1708,2%,76%,21%,1%,,-1.0,-1.0,48,41,54,11,68,8,374,21,27,2016
48,43,Michael Beasley,PF,27,HOU,20,363,,,5%,88%,7%,-9.6,-10.6,12,5,21,2,23,1,36,5,13,2016
49,44,Marco Belinelli,SG,29,SAC,68,1672,,56%,43%,1%,,-6.2,-5.9,51,17,40,4,48,10,300,17,9,2016
50,45,Anthony Bennett,PF,22,TOR,19,84,,,35%,65%,,-13.8,-19.0,2,1,6,1,2,0,0,0,2,2016
51,46,Patrick Beverley,PG,27,HOU,71,2041,94%,6%,,,,3.8,7.5,60,12,67,6,26,25,569,4,32,2016
52,47,Bismack Biyombo,C,23,TOR,82,1808,,,,4%,96%,4.1,-1.3,9,17,116,28,87,5,72,15,45,2016
53,48,Nemanja Bjelica,PF,27,MIN,60,1075,,,,94%,6%,-5.5,-3.0,15,15,72,6,21,3,184,6,10,2016
54,49,Tarik Black,C,24,LAL,39,496,,,,2%,98%,1.0,12.9,4,11,40,5,19,3,39,1,9,2016
55,50,DeJuan Blair,C,26,WAS,29,218,,,,1%,99%,-8.8,-8.9,6,1,24,8,6,2,27,1,4,2016
56,51,Steve Blake,PG,35,DET,58,986,100%,,,,,-2.8,-4.2,59,15,25,0,6,7,477,2,10,2016
57,52,Eric Bledsoe,PG,26,PHO,31,1059,100%,,,,,-2.9,5.9,67,24,27,9,58,10,447,13,25,2016
58,53,Bojan Bogdanović,SF,26,BRK,79,2115,,30%,63%,5%,2%,-9.0,-3.0,43,48,46,8,55,5,227,11,74,2016
59,54,Andrew Bogut,C,31,GSW,70,1451,,,,,100%,13.9,4.4,53,9,102,15,12,3,392,2,7,2016
60,55,Matt Bonner,C,35,SAS,30,206,,,,48%,52%,16.8,5.6,2,1,8,0,1,0,22,0,2,2016
61,56,Devin Booker,SG,19,PHO,76,2108,1%,80%,17%,1%,,-9.3,-4.3,99,33,100,17,86,14,470,18,64,2016
62,57,Trevor Booker,PF,28,UTA,79,1632,,,,96%,4%,2.8,1.6,31,14,62,20,42,4,210,10,18,2016
63,58,Chris Bosh,PF,31,MIA,53,1778,,,,55%,45%,1.0,-1.9,37,29,54,5,123,3,295,26,32,2016
64,59,Avery Bradley,SG,25,BOS,76,2536,10%,76%,14%,,,4.4,3.2,61,29,65,6,48,10,352,7,44,2016
65,60,Elton Brand,C,36,PHI,17,225,,,,10%,90%,-7.6,3.2,3,6,17,0,4,3,47,3,2,2016
66,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
67,61,Corey Brewer,SF,29,HOU,82,1669,,5%,83%,12%,,-2.2,-3.8,45,20,48,6,54,18,257,12,27,2016
68,62,Aaron Brooks,PG,31,CHI,69,1108,100%,,,,,-0.5,1.5,54,19,64,4,24,7,429,4,34,2016
69,63,Anthony Brown,SF,23,LAL,29,599,,5%,95%,1%,,-3.8,7.6,8,6,17,0,8,1,45,2,10,2016
70,64,Lorenzo Brown,PG,25,PHO,8,61,100%,,,,,-27.3,-20.3,4,2,1,2,2,0,25,2,0,2016
71,65,Markel Brown,SG,24,BRK,62,982,5%,90%,5%,,,-11.2,-4.8,34,17,52,0,35,7,202,9,10,2016
72,66,Kobe Bryant*,SF,37,LAL,66,1863,,2%,97%,1%,,-15.4,-9.8,85,36,44,3,106,2,416,16,35,2016
73,67,Chase Budinger,SF,27,TOT,66,929,,11%,73%,16%,,-0.2,2.8,27,6,32,3,25,3,144,3,12,2016
74,67,Chase Budinger,SF,27,IND,49,729,,14%,69%,18%,,2.6,0.9,16,6,25,2,21,3,109,3,8,2016
75,67,Chase Budinger,SF,27,PHO,17,200,,3%,88%,8%,,-10.3,-3.2,11,0,7,1,4,0,35,0,4,2016
76,68,Reggie Bullock,SF,24,DET,37,429,,40%,60%,,,-6.4,-7.6,2,1,16,3,6,3,64,1,5,2016
77,69,Trey Burke,PG,23,UTA,64,1366,94%,6%,,,,-1.6,-5.2,48,22,39,6,33,1,339,11,33,2016
78,70,Alec Burks,SG,24,UTA,31,797,30%,69%,,,,-1.4,-4.1,21,14,28,6,58,6,146,10,27,2016
79,71,Caron Butler,SF,35,SAC,17,176,,7%,85%,8%,,-12.9,-10.5,2,1,11,0,4,0,24,1,0,2016
80,72,Jimmy Butler,SG,26,CHI,67,2474,1%,81%,18%,,,-0.7,2.6,72,41,63,17,193,5,742,31,56,2016
81,73,Rasual Butler,SF,36,SAS,46,432,,26%,69%,5%,,9.8,-1.9,7,1,7,0,5,1,58,2,4,2016
82,74,Bruno Caboclo,SF,20,TOR,6,43,,5%,69%,26%,,-6.0,-10.9,3,1,0,0,0,0,3,0,2,2016
83,75,José Calderón,PG,34,NYK,72,2024,79%,21%,,,,-2.2,1.2,63,17,68,1,14,15,692,4,10,2016
84,76,Kentavious Caldwell-Pope,SG,22,DET,76,2789,,100%,,,,2.6,7.6,42,38,74,9,99,21,335,27,35,2016
85,77,Isaiah Canaan,SG,24,PHI,77,1966,16%,81%,3%,,,-13.0,-4.7,49,19,52,7,60,18,324,16,39,2016
86,78,Clint Capela,C,21,HOU,77,1471,,,,20%,80%,4.0,6.3,19,20,88,13,75,1,108,19,46,2016
87,79,DeMarre Carroll,SF,29,TOR,26,786,,1%,81%,19%,,3.1,-2.2,11,12,27,2,19,6,66,3,18,2016
88,80,Vince Carter,SG,39,MEM,60,1005,3%,59%,36%,2%,,-2.7,-0.4,18,8,56,7,27,8,127,6,14,2016
89,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
90,81,Michael Carter-Williams,PG,24,MIL,54,1649,99%,1%,,,,-3.5,0.8,94,38,64,8,64,22,622,18,43,2016
91,82,Omri Casspi,PF,27,SAC,69,1880,,,34%,66%,1%,0.4,6.0,52,22,68,8,72,8,210,17,29,2016
92,83,Willie Cauley-Stein,C,22,SAC,66,1412,,,,70%,30%,-2.2,0.9,16,17,78,5,46,4,85,5,22,2016
93,84,Mario Chalmers,PG,29,TOT,61,1373,85%,16%,,,,2.7,3.5,63,30,79,8,91,33,525,17,27,2016
94,84,Mario Chalmers,PG,29,MIA,6,120,100%,,,,,25.1,23.8,7,1,9,2,2,0,48,0,4,2016
95,84,Mario Chalmers,PG,29,MEM,55,1253,83%,17%,,,,0.6,4.3,56,29,70,6,89,33,477,17,23,2016
96,85,Tyson Chandler,C,33,PHO,66,1618,,,,30%,70%,-11.7,-7.5,41,11,67,21,82,4,151,20,23,2016
97,86,Rakeem Christmas,PF,24,IND,1,6,,,49%,51%,,-83.3,-85.4,0,0,1,0,0,0,0,0,0,2016
98,87,Ian Clark,SG,24,GSW,66,578,48%,52%,1%,,,-6.3,-20.2,20,19,28,2,9,1,155,2,11,2016
99,88,Coty Clarke,SF,23,BOS,3,6,,,,100%,,22.7,19.5,1,0,0,0,0,0,0,0,0,2016
100,89,Jordan Clarkson,SG,23,LAL,79,2552,3%,96%,1%,,,-12.5,-6.3,55,45,68,17,83,13,450,16,87,2016
101,90,Norris Cole,PG,27,NOP,45,1198,94%,6%,,,,-5.0,-1.7,49,11,50,7,22,5,370,4,17,2016
102,91,Darren Collison,PG,28,SAC,74,2219,100%,,,,,-2.2,1.3,69,38,48,12,87,9,733,23,59,2016
103,92,Nick Collison,PF,35,OKC,59,699,,,,86%,15%,2.2,-6.1,28,8,49,7,15,4,112,1,10,2016
104,93,Mike Conley,PG,28,MEM,56,1761,100%,,,,,1.8,7.4,56,21,45,4,81,17,756,16,33,2016
105,94,Pat Connaughton,SG,23,POR,34,143,,98%,2%,,,-7.1,-8.2,6,4,4,0,1,0,25,1,5,2016
106,95,Chris Copeland,PF,31,MIL,24,156,,,34%,65%,1%,-26.5,-23.3,2,2,9,1,3,0,26,1,2,2016
107,96,Bryce Cotton,PG,23,TOT,8,39,100%,,,,,-35.2,-30.5,3,2,2,0,0,0,7,0,0,2016
108,96,Bryce Cotton,PG,23,PHO,3,33,100%,,,,,-25.1,-18.0,3,2,2,0,0,0,7,0,0,2016
109,96,Bryce Cotton,PG,23,MEM,5,6,100%,,,,,-100.0,-97.8,0,0,0,0,0,0,0,0,0,2016
110,97,DeMarcus Cousins,C,25,SAC,65,2246,,,,13%,87%,0.1,6.8,96,89,89,45,268,13,497,63,118,2016
111,98,Robert Covington,SF,25,PHI,67,1903,,,23%,73%,4%,-8.3,4.7,54,43,102,17,67,8,225,9,40,2016
112,99,Allen Crabbe,SG,23,POR,81,2105,,36%,62%,2%,,0.0,-1.7,23,19,96,8,42,3,234,11,14,2016
113,100,Jamal Crawford,SG,35,LAC,79,2126,,48%,50%,2%,,1.1,-7.0,63,34,39,7,109,8,417,24,26,2016
114,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
115,101,Jae Crowder,SF,25,BOS,73,2308,,1%,77%,22%,,5.0,4.0,42,15,95,15,104,9,305,29,20,2016
116,102,Dante Cunningham,SF,28,NOP,80,1971,,2%,74%,24%,1%,-6.1,-4.5,18,8,95,5,39,7,175,6,24,2016
117,103,Jared Cunningham,SG,24,TOT,44,410,29%,66%,6%,,,-3.3,-4.7,8,9,20,4,23,8,46,1,17,2016
118,103,Jared Cunningham,SG,24,CLE,40,355,33%,63%,4%,,,-0.2,-7.3,6,9,19,3,19,3,43,0,14,2016
119,103,Jared Cunningham,SG,24,MIL,4,55,,84%,16%,,,-24.2,-20.5,2,0,1,1,4,5,3,1,3,2016
120,104,Seth Curry,PG,25,SAC,44,692,35%,63%,2%,,,-2.7,0.1,21,6,15,4,18,2,153,1,12,2016
121,105,Stephen Curry,PG,27,GSW,79,2700,100%,,,,,18.0,22.6,167,61,74,6,129,19,1213,32,51,2016
122,106,Troy Daniels,SG,24,CHO,43,476,,52%,48%,,,-5.1,-9.1,11,10,27,0,3,0,48,0,3,2016
123,107,Anthony Davis,C,22,NOP,61,2164,,,,46%,54%,-4.7,-1.8,40,43,78,18,169,6,274,36,54,2016
124,108,Ed Davis,PF,26,POR,81,1684,,,,55%,45%,1.3,0.8,16,21,115,19,96,6,208,26,25,2016
125,109,Branden Dawson,PF,22,LAC,6,29,,,17%,83%,,-25.5,-30.0,0,0,2,0,1,0,0,1,2,2016
126,110,Dewayne Dedmon,C,26,ORL,58,705,,,,2%,98%,-3.1,-1.8,8,7,61,7,34,2,31,7,15,2016
127,111,Bryce Dejean-Jones,SG,23,NOP,14,279,,82%,18%,,,-6.2,-2.5,5,2,7,0,10,2,34,1,6,2016
128,112,Sam Dekker,PF,21,HOU,3,6,,,15%,85%,,-5.2,-5.3,0,0,0,0,0,0,0,0,0,2016
129,113,Matthew Dellavedova,PG,25,CLE,76,1867,71%,29%,,,,10.7,8.0,80,18,55,9,18,11,785,4,20,2016
130,114,Luol Deng,PF,30,MIA,74,2394,,,26%,71%,3%,0.6,-3.5,35,23,54,9,83,6,328,19,31,2016
131,115,DeMar DeRozan,SG,26,TOR,78,2804,,68%,32%,,,3.1,-6.2,67,76,53,17,258,8,784,51,97,2016
132,116,Boris Diaw,PF,33,SAS,76,1386,,,,96%,4%,10.1,-2.2,52,25,46,7,34,7,410,11,16,2016
133,117,Gorgui Dieng,C,26,MIN,82,2220,,,,53%,47%,0.0,7.5,38,27,95,31,119,10,325,27,51,2016
134,118,Spencer Dinwiddie,PG,22,DET,12,159,100%,,,,,-17.3,-18.4,5,1,11,0,15,4,50,3,4,2016
135,119,Toney Douglas,PG,29,NOP,61,1262,64%,35%,1%,,,-5.3,-2.0,33,10,50,7,35,7,359,5,29,2016
136,120,Goran Dragić,PG,29,MIA,72,2363,99%,1%,,,,3.9,4.6,102,42,70,17,62,15,946,11,40,2016
137,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
138,121,Andre Drummond,C,22,DET,81,2666,,,,,100%,2.4,6.2,41,55,121,30,198,3,164,46,72,2016
139,122,Jared Dudley,PF,30,WAS,81,2098,,,1%,94%,5%,1.3,3.8,52,19,78,5,36,15,388,7,6,2016
140,123,Duje Dukan,SF,24,SAC,1,24,,,100%,,,-17.8,-15.1,0,0,2,0,0,0,2,0,0,2016
141,124,Tim Duncan*,C,39,SAS,61,1536,,,,1%,99%,13.9,3.9,51,19,70,11,65,4,354,21,38,2016
142,125,Mike Dunleavy,SF,35,CHI,31,703,,,91%,9%,,-4.9,-3.9,18,4,34,0,16,2,89,5,11,2016
143,126,Kevin Durant,SF,27,OKC,72,2578,,,74%,26%,,11.5,12.6,133,82,70,16,169,6,825,32,38,2016
144,127,Cleanthony Early,SF,24,NYK,17,154,,,72%,28%,,1.0,4.0,7,2,12,0,1,1,14,0,4,2016
145,128,Jarell Eddie,SF,24,WAS,26,147,,2%,58%,40%,,-11.9,-11.9,0,1,2,0,4,1,11,0,3,2016
146,129,Wayne Ellington,SG,28,BRK,76,1615,,92%,8%,,,-10.5,-4.9,29,11,40,1,19,4,187,3,24,2016
147,130,Monta Ellis,SG,30,IND,81,2734,14%,86%,1%,,,2.4,1.5,121,49,75,12,76,12,891,24,32,2016
148,131,James Ennis,SF,25,TOT,22,329,,69%,29%,3%,,-6.7,-5.4,4,11,11,2,14,1,42,2,5,2016
149,131,James Ennis,SF,25,MIA,3,7,,,100%,,,0.0,-2.0,0,0,0,0,0,0,2,0,0,2016
150,131,James Ennis,SF,25,MEM,10,40,,32%,46%,22%,,-24.4,-22.3,1,1,0,0,5,0,4,0,0,2016
151,131,James Ennis,SF,25,NOP,9,282,,75%,25%,,,-4.4,-0.6,3,10,11,2,9,1,36,2,5,2016
152,132,Tyler Ennis,PG,21,MIL,46,654,100%,,,,,-5.7,-2.0,29,10,31,1,8,2,214,3,18,2016
153,133,Jeremy Evans,SF,28,DAL,30,251,,2%,53%,43%,3%,-4.6,-4.7,3,2,12,1,8,1,4,3,2,2016
154,134,Tyreke Evans,SG,26,NOP,25,765,1%,60%,39%,1%,,-0.3,4.4,34,21,29,4,37,2,390,5,23,2016
155,135,Festus Ezeli,C,26,GSW,46,770,,,,,100%,14.1,3.7,13,10,48,11,57,1,80,13,20,2016
156,136,Kenneth Faried,PF,26,DEN,67,1694,,,1%,80%,20%,-3.6,-0.9,26,32,68,22,102,10,188,32,59,2016
157,137,Jordan Farmar,PG,29,MEM,12,291,100%,,,,,-11.2,-9.5,12,3,7,2,1,4,83,0,7,2016
158,138,Derrick Favors,PF,24,UTA,62,1983,,,,46%,54%,1.8,-0.2,42,24,72,18,123,3,231,36,63,2016
159,139,Cristiano Felício,C,23,CHI,31,321,,,,,100%,6.2,8.5,3,6,13,2,15,1,64,3,5,2016
160,140,Raymond Felton,PG,31,DAL,80,2192,69%,31%,,,,-0.5,-0.7,82,22,59,9,45,11,690,12,32,2016
161,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
162,141,Evan Fournier,SF,23,ORL,79,2566,1%,51%,48%,1%,,-3.1,-4.2,58,41,79,12,93,17,468,20,70,2016
163,142,Randy Foye,SG,32,TOT,81,1642,12%,45%,41%,3%,,1.5,-0.8,59,15,71,4,32,9,372,6,26,2016
164,142,Randy Foye,SG,32,DEN,54,1070,,33%,63%,4%,,-1.5,2.2,42,8,46,2,21,7,257,5,21,2016
165,142,Randy Foye,SG,32,OKC,27,572,34%,66%,,,,6.9,-0.4,17,7,25,2,11,2,115,1,5,2016
166,143,Tim Frazier,PG,25,TOT,51,741,100%,,,,,-0.7,0.9,31,25,23,1,26,8,372,7,22,2016
167,143,Tim Frazier,PG,25,POR,35,272,100%,,,,,-1.7,-2.7,12,11,10,0,6,1,95,1,8,2016
168,143,Tim Frazier,PG,25,NOP,16,469,100%,,,,,-0.3,4.1,19,14,13,1,20,7,277,6,14,2016
169,144,Jimmer Fredette,SG,26,TOT,6,18,,51%,50%,,,-76.3,-73.1,0,2,2,0,2,0,0,0,0,2016
170,144,Jimmer Fredette,SG,26,NOP,4,13,,32%,69%,,,-80.8,-77.2,0,1,1,0,0,0,0,0,0,2016
171,144,Jimmer Fredette,SG,26,NYK,2,5,,100%,,,,-66.4,-63.6,0,1,1,0,2,0,0,0,0,2016
172,145,Channing Frye,PF-C,32,TOT,70,1200,,,,68%,32%,4.4,2.4,19,5,67,13,13,6,164,4,6,2016
173,145,Channing Frye,PF,32,ORL,44,754,,,,91%,9%,3.2,6.0,16,4,36,7,5,3,101,2,2,2016
174,145,Channing Frye,C,32,CLE,26,446,,,,30%,71%,6.5,0.0,3,1,31,6,8,3,63,2,4,2016
175,146,Danilo Gallinari,SF,27,DEN,53,1839,,,67%,32%,1%,-3.0,0.2,30,25,34,10,160,14,301,22,49,2016
176,147,Langston Galloway,PG,24,NYK,82,2033,100%,,,,,-2.7,0.4,40,8,65,5,47,5,480,12,22,2016
177,148,Kevin Garnett*,PF,39,MIN,38,556,,,,99%,1%,6.3,11.2,6,1,28,8,6,4,135,1,2,2016
178,149,Marc Gasol,C,31,MEM,52,1791,,,,,100%,-0.1,4.1,41,47,63,22,93,7,449,21,25,2016
179,150,Pau Gasol,C,35,CHI,72,2291,,,,,100%,-1.1,1.4,102,47,91,7,106,4,669,27,59,2016
180,151,Rudy Gay,SF,29,SAC,70,2379,,1%,76%,24%,,-2.3,1.3,61,55,94,11,95,6,281,19,60,2016
181,152,Alonzo Gee,SF,28,NOP,73,1632,,14%,83%,3%,,-4.3,-0.6,21,17,73,9,29,8,174,8,23,2016
182,153,Paul George,SF,25,IND,81,2819,,,61%,39%,1%,3.1,4.4,143,78,78,30,182,22,730,36,77,2016
183,154,Taj Gibson,PF,30,CHI,73,1936,,,11%,87%,2%,-2.1,-0.9,19,22,83,20,68,4,244,23,54,2016
184,155,Manu Ginóbili,SG,38,SAS,58,1134,1%,86%,13%,,,14.5,4.3,70,20,26,6,31,19,396,5,22,2016
185,156,Rudy Gobert,C,23,UTA,61,1932,,,,,100%,4.4,4.8,38,35,77,20,104,4,211,10,42,2016
186,157,Drew Gooden,PF,34,WAS,30,305,,,,70%,30%,-13.2,-13.8,7,3,22,0,6,0,31,2,6,2016
187,158,Archie Goodwin,PG,21,PHO,57,1114,69%,31%,1%,,,-9.9,-3.7,64,25,47,5,82,15,275,15,45,2016
188,159,Aaron Gordon,PF,20,ORL,78,1863,,,40%,60%,,-1.4,0.4,17,19,61,16,83,3,277,20,34,2016
189,160,Eric Gordon,SG,27,NOP,45,1481,21%,64%,15%,,,-2.5,2.2,32,27,53,3,47,3,271,13,30,2016
190,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
191,161,Marcin Gortat,C,31,WAS,75,2256,,,,,100%,0.8,2.9,39,35,84,30,94,15,245,20,50,2016
192,162,Andrew Goudelock,PG,27,HOU,8,50,99%,1%,,,,14.4,14.6,5,1,1,0,0,1,9,0,0,2016
193,163,Jerami Grant,PF,21,PHI,77,2066,,4%,55%,41%,1%,-10.1,1.3,38,27,98,30,148,20,331,23,76,2016
194,164,Jerian Grant,PG,23,NYK,76,1265,24%,75%,1%,,,-6.5,-5.4,61,18,41,5,61,14,418,16,29,2016
195,165,Danny Green,SG,28,SAS,79,2062,,82%,18%,,,12.7,2.5,41,15,76,5,15,10,315,1,21,2016
196,166,Draymond Green,PF,25,GSW,81,2808,,,,80%,21%,18.5,26.3,170,48,116,19,143,17,1402,36,55,2016
197,167,Erick Green,PG,24,TOT,9,42,100%,,,,,-1.3,-0.6,0,0,4,0,0,0,9,0,0,2016
198,167,Erick Green,PG,24,DEN,3,7,100%,,,,,22.1,25.2,0,0,0,0,0,0,3,0,0,2016
199,167,Erick Green,PG,24,UTA,6,35,100%,,,,,-6.8,-8.7,0,0,4,0,0,0,6,0,0,2016
200,168,Gerald Green,SG,30,MIA,69,1557,1%,42%,57%,,,1.5,-0.9,16,6,61,9,38,3,124,11,19,2016
201,169,JaMychal Green,PF,25,MEM,78,1446,,,1%,83%,16%,-1.3,1.7,25,27,79,18,62,2,151,17,48,2016
202,170,Jeff Green,SF,29,TOT,80,2253,,,40%,59%,1%,-0.4,-2.0,37,29,78,12,102,5,328,23,56,2016
203,170,Jeff Green,SF,29,MEM,53,1544,,,49%,51%,,-0.6,2.9,28,18,46,10,72,3,232,16,42,2016
204,170,Jeff Green,SF,29,LAC,27,709,,,21%,77%,2%,0.1,-5.2,9,11,32,2,30,2,96,7,14,2016
205,171,Blake Griffin,PF,26,LAC,35,1170,,,,85%,15%,6.9,3.7,37,30,31,13,76,7,411,18,12,2016
206,172,Jorge Gutiérrez,PG,27,CHO,12,63,100%,,,,,6.2,3.4,4,2,0,0,2,0,42,1,0,2016
207,173,P.J. Hairston,SF,23,TOT,66,1313,,56%,40%,4%,,-6.0,-7.5,17,11,74,9,32,10,92,10,16,2016
208,173,P.J. Hairston,SF,23,CHO,48,938,,60%,38%,2%,,-5.4,-10.8,12,5,62,5,21,8,73,7,11,2016
209,173,P.J. Hairston,SF,23,MEM,18,375,,45%,46%,9%,,-7.4,-5.6,5,6,12,4,11,2,19,3,5,2016
210,174,Jordan Hamilton,SF,25,NOP,11,304,,24%,66%,10%,,-10.4,-7.0,8,8,16,0,7,1,59,3,5,2016
211,175,Tyler Hansbrough,PF,30,CHO,44,343,,,,86%,14%,-3.9,-7.4,2,3,20,3,26,3,20,1,13,2016
212,176,Tim Hardaway Jr.,SG,23,ATL,51,864,1%,90%,9%,,,6.5,3.6,11,8,21,3,19,4,121,6,15,2016
213,177,James Harden,SG,26,HOU,82,3125,2%,77%,21%,1%,,1.6,7.1,223,98,93,42,311,14,1458,56,95,2016
214,178,Maurice Harkless,SF,22,POR,78,1457,,2%,70%,28%,,1.3,0.9,22,17,77,8,50,2,161,9,29,2016
215,179,Justin Harper,PF,26,DET,5,35,,,,100%,,-50.6,-51.4,2,0,2,0,1,0,0,0,0,2016
216,180,Montrezl Harrell,PF,22,HOU,39,379,,,,81%,19%,6.3,6.9,6,5,26,2,19,1,43,2,8,2016
217,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
218,181,Devin Harris,PG,32,DAL,64,1280,15%,69%,16%,,,-2.5,-3.4,44,10,59,3,44,18,268,16,17,2016
219,182,Gary Harris,SG,21,DEN,76,2439,1%,62%,35%,2%,,-4.2,-2.8,34,41,51,9,56,4,334,17,46,2016
220,183,Joe Harris,SG,24,CLE,5,15,,69%,31%,,,-57.6,-64.3,1,0,0,0,0,0,5,0,0,2016
221,184,Tobias Harris,PF,23,TOT,76,2513,,,33%,67%,,0.3,1.4,37,41,76,22,111,7,408,34,71,2016
222,184,Tobias Harris,PF,23,ORL,49,1610,,,51%,49%,,-0.8,1.4,27,33,44,12,68,7,240,20,47,2016
223,184,Tobias Harris,PF,23,DET,27,903,,,2%,98%,,2.4,2.6,10,8,32,10,43,0,168,14,24,2016
224,185,Aaron Harrison,SG,21,CHO,21,93,,3%,97%,,,-2.5,-5.5,1,0,7,0,2,1,4,0,0,2016
225,186,Udonis Haslem,PF,35,MIA,37,260,,,4%,83%,14%,-0.7,-2.9,1,1,15,3,4,5,31,1,1,2016
226,187,Spencer Hawes,PF,27,CHO,57,1035,,,,73%,27%,1.8,-1.4,25,11,79,12,30,5,253,3,13,2016
227,188,Chuck Hayes,C,32,HOU,2,24,,,,,100%,-4.1,-4.2,1,1,2,1,0,0,4,0,0,2016
228,189,Gordon Hayward,SF,25,UTA,80,2893,,12%,86%,3%,,1.5,-1.4,85,67,66,33,175,16,704,37,57,2016
