,Rk,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
136,100,Mike Conley,PG,26,MEM,73,2446,100%,,,,,2.6,1.4,86,51,70,8,109,27,958,21,50,2014
137,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
138,101,Chris Copeland,SF,29,IND,41,265,,,24%,74%,2%,-3.4,-8.6,7,4,28,0,8,0,43,2,6,2014
139,102,DeMarcus Cousins,C,23,SAC,71,2298,,,,,100%,-1.5,3.9,83,76,104,55,255,13,476,79,108,2014
140,103,Robert Covington,SF,23,HOU,7,34,,,53%,48%,,27.6,23.0,0,0,2,0,0,0,0,0,0,2014
141,104,Allen Crabbe,SG,21,POR,15,100,,2%,92%,6%,,-0.1,-4.1,1,2,6,0,2,0,15,1,2,2014
142,105,Jamal Crawford,SG,33,LAC,69,2094,,78%,22%,,,5.6,-3.1,68,41,46,7,120,7,496,26,17,2014
143,106,Jordan Crawford,SG-PG,25,TOT,81,1859,22%,76%,3%,,,-5.2,-6.8,59,40,56,20,56,5,648,13,21,2014
144,106,Jordan Crawford,PG,25,BOS,39,1198,22%,78%,,,,-4.2,1.3,40,28,34,9,37,4,515,8,12,2014
145,106,Jordan Crawford,SG,25,GSW,42,661,22%,71%,6%,,,-6.9,-14.3,19,12,22,11,19,1,133,5,9,2014
146,107,Jae Crowder,SF,23,DAL,78,1254,,1%,88%,11%,,12.3,14.5,18,11,51,7,29,7,140,6,13,2014
147,108,Dante Cunningham,PF,26,MIN,81,1635,,,4%,89%,7%,-0.5,-5.1,16,14,87,9,31,7,201,9,15,2014
148,109,Jared Cunningham,SG,22,TOT,13,80,33%,67%,,,,4.5,6.3,1,0,3,1,6,3,19,0,3,2014
149,109,Jared Cunningham,SG,22,ATL,5,22,,100%,,,,-4.7,-4.4,1,0,1,1,1,1,8,0,0,2014
150,109,Jared Cunningham,SG,22,SAC,8,58,45%,55%,,,,7.9,11.2,0,0,2,0,5,2,11,0,3,2014
151,110,Seth Curry,PG,23,TOT,2,13,100%,,,,,0.4,1.2,0,0,0,0,0,1,0,0,0,2014
152,110,Seth Curry,PG,23,MEM,1,4,100%,,,,,66.1,64.1,0,0,0,0,0,0,0,0,0,2014
153,110,Seth Curry,PG,23,CLE,1,9,100%,,,,,-26.3,-22.9,0,0,0,0,0,1,0,0,0,2014
154,111,Stephen Curry,PG,25,GSW,78,2846,93%,7%,,,,9.2,15.1,193,59,97,15,109,29,1485,33,34,2014
155,112,Samuel Dalembert,C,32,DAL,80,1614,,,,,100%,0.6,-3.0,19,29,104,23,62,7,91,8,36,2014
156,113,Troy Daniels,SG,22,HOU,5,75,,66%,34%,,,20.6,16.1,3,0,3,0,0,1,13,0,1,2014
157,114,Gigi Datome,SF,26,DET,34,238,,18%,82%,,,8.0,12.8,5,2,9,1,2,2,26,0,0,2014
158,115,Brandon Davies,PF,22,PHI,51,575,,,,38%,62%,-2.8,9.3,14,8,47,10,26,4,64,5,11,2014
159,116,Anthony Davis,PF,20,NOP,67,2358,,,,54%,47%,-1.8,1.9,31,27,110,30,195,16,238,43,68,2014
160,117,Ed Davis,PF,24,MEM,63,956,,,,49%,51%,4.1,2.7,8,15,59,11,47,1,59,11,25,2014
161,118,Glen Davis,PF,28,TOT,68,1662,,,,39%,61%,-5.5,-7.8,22,21,60,28,67,5,173,14,50,2014
162,118,Glen Davis,PF,28,ORL,45,1354,,,,46%,54%,-5.3,0.8,19,19,43,16,55,5,157,13,41,2014
163,118,Glen Davis,PF,28,LAC,23,308,,,,9%,91%,-6.5,-14.7,3,2,17,12,12,0,16,1,9,2014
164,119,Austin Daye,SF,25,TOT,22,148,,6%,34%,61%,,1.4,-4.6,4,0,12,0,4,0,17,1,1,2014
165,119,Austin Daye,SF,25,TOR,8,33,,,20%,80%,,-23.3,-27.2,0,0,2,0,2,0,5,1,0,2014
166,119,Austin Daye,SF,25,SAS,14,115,,7%,38%,55%,,9.0,0.8,4,0,10,0,2,0,12,0,1,2014
167,120,Nando De Colo,SF,26,TOT,47,494,,23%,75%,2%,,-0.2,-6.6,20,10,23,2,11,6,152,3,7,2014
168,120,Nando De Colo,SF,26,SAS,26,301,,33%,65%,3%,,-0.2,-9.0,13,4,10,2,8,4,73,2,5,2014
169,120,Nando De Colo,SF,26,TOR,21,193,,9%,91%,,,-0.4,-4.2,7,6,13,0,3,2,79,1,2,2014
170,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
171,121,Dewayne Dedmon,C,24,TOT,31,390,,,,9%,91%,-9.6,-5.9,5,6,38,3,16,4,12,4,4,2014
172,121,Dewayne Dedmon,C,24,GSW,4,6,,,,38%,63%,-46.2,-51.2,0,0,1,0,1,0,0,0,0,2014
173,121,Dewayne Dedmon,C,24,PHI,11,150,,,,10%,90%,-9.7,1.1,3,3,14,1,6,1,7,1,1,2014
174,121,Dewayne Dedmon,C,24,ORL,16,234,,,,8%,92%,-8.5,-2.9,2,3,23,2,9,3,5,3,3,2014
175,122,Matthew Dellavedova,SG,23,CLE,72,1271,28%,65%,7%,,,4.3,11.5,41,11,42,1,4,8,420,1,6,2014
176,123,Luol Deng,SF,28,TOT,63,2213,,16%,80%,4%,,0.0,1.1,51,34,53,10,111,12,410,25,62,2014
177,123,Luol Deng,SF,28,CHI,23,860,,42%,58%,,,3.0,1.1,28,11,25,8,48,5,186,11,15,2014
178,123,Luol Deng,SF,28,CLE,40,1353,,,94%,6%,,-1.8,2.6,23,23,28,2,63,7,224,14,47,2014
179,124,DeMar DeRozan,SG,24,TOR,79,3017,,21%,77%,2%,,3.6,-0.4,52,84,85,19,260,8,786,50,57,2014
180,125,Boris Diaw,PF,31,SAS,79,1974,,,3%,94%,3%,8.6,0.8,53,31,66,15,33,13,509,13,23,2014
181,126,Gorgui Dieng,C,24,MIN,60,818,,,,,100%,-3.0,-7.0,9,14,60,10,39,4,89,7,21,2014
182,127,Toney Douglas,PG,27,TOT,51,675,53%,47%,,,,-0.1,-5.7,26,1,32,2,14,3,159,2,13,2014
183,127,Toney Douglas,PG,27,GSW,24,265,100%,,,,,-13.4,-19.7,12,1,13,1,4,0,42,1,3,2014
184,127,Toney Douglas,PG,27,MIA,27,410,23%,77%,,,,9.5,4.6,14,0,19,1,10,3,117,1,10,2014
185,128,Chris Douglas-Roberts,SF,27,CHA,49,1016,,32%,68%,,,0.4,0.8,10,12,16,5,39,4,118,11,11,2014
186,129,Goran Dragić,SG,27,PHO,76,2668,52%,47%,1%,,,5.5,9.3,101,63,67,24,134,20,1093,30,60,2014
187,130,Andre Drummond,C,20,DET,81,2619,,,,,100%,-4.2,-0.7,22,31,129,24,141,13,79,26,44,2014
188,131,Jared Dudley,SF,28,LAC,74,1729,,,90%,10%,,5.9,-2.1,31,9,65,10,21,6,245,4,18,2014
189,132,Tim Duncan*,C,37,SAS,74,2158,,,,,100%,6.7,-3.2,76,50,78,15,160,4,485,31,66,2014
190,133,Mike Dunleavy,SF,33,CHI,82,2584,,,98%,2%,,3.2,3.2,70,19,72,12,54,14,403,6,21,2014
191,134,Kevin Durant,SF,25,OKC,81,3122,,4%,70%,26%,,8.0,6.0,123,115,94,22,301,8,1004,68,42,2014
192,135,Shane Edwards,SF,26,CLE,2,12,,,88%,12%,,-36.4,-33.0,0,0,0,0,0,0,0,0,1,2014
193,136,Wayne Ellington,SG,26,DAL,45,393,,65%,35%,,,-2.0,-4.9,5,5,20,0,5,4,45,2,5,2014
194,137,Monta Ellis,SG,28,DAL,82,3023,4%,95%,1%,,,0.4,-8.5,130,82,94,21,171,30,1105,36,44,2014
195,138,Melvin Ely,C,35,NOP,2,27,88%,12%,,,,-22.3,-19.9,0,0,4,0,0,0,0,0,0,2014
196,139,Jeremy Evans,SF,26,UTA,66,1209,,2%,51%,48%,,-6.6,2.0,19,8,65,9,32,9,100,11,23,2014
197,140,Reggie Evans,PF,33,TOT,54,899,,,,74%,26%,-6.8,-5.4,12,11,45,17,46,3,50,4,28,2014
