,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGPc,_3P,_3PA,_3PTPc,_2P,_2PA,_2PTPc,eFGPc,FT,FTA,FTPc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
40,31,Paul Cloyd,G-F,29,BLB,3,,,1,8,.125,,,,1,8,.125,.125,3,3,1.000,,,,1,,,,4,5,1950
41,31,Paul Cloyd,G-F,29,WAT,4,,,6,18,.333,,,,6,18,.333,.333,2,5,.400,,,,1,,,,1,14,1950
42,32,Jack Coleman,PF,25,ROC,68,,,250,663,.377,,,,250,663,.377,.377,90,121,.744,,,,153,,,,223,590,1950
43,33,Bobby Cook,G-F,26,SHE,51,,,222,620,.358,,,,222,620,.358,.358,143,181,.790,,,,158,,,,114,587,1950
44,34,Ray Corley,G,22,SYR,60,,,117,370,.316,,,,117,370,.316,.316,75,122,.615,,,,109,,,,81,309,1950
45,35,Jack Cotton,F-C,25,DNN,54,,,97,332,.292,,,,97,332,.292,.292,82,161,.509,,,,65,,,,184,276,1950
46,36,Dillard Crocker,PF,25,DNN,53,,,245,840,.292,,,,245,840,.292,.292,233,317,.735,,,,85,,,,223,723,1950
47,37,Chink Crossin,G,26,PHW,64,,,185,574,.322,,,,185,574,.322,.322,79,101,.782,,,,148,,,,139,449,1950
48,38,Fran Curran,G,27,ROC,66,,,98,235,.417,,,,98,235,.417,.417,199,241,.826,,,,71,,,,113,395,1950
49,39,Jimmy Darden,G,27,DNN,26,,,78,243,.321,,,,78,243,.321,.321,55,80,.688,,,,67,,,,67,211,1950
50,40,Bob Davies*,PG,30,ROC,64,,,317,887,.357,,,,317,887,.357,.357,261,347,.752,,,,294,,,,187,895,1950
51,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1950
52,41,Hook Dillon,F,26,WSC,22,,,10,55,.182,,,,10,55,.182,.182,16,22,.727,,,,5,,,,19,36,1950
53,42,Earl Dodd,F,25,DNN,9,,,6,27,.222,,,,6,27,.222,.222,3,5,.600,,,,6,,,,13,15,1950
54,43,Joe Dolhon,G,22,BLB,64,,,143,458,.312,,,,143,458,.312,.312,157,214,.734,,,,155,,,,193,443,1950
55,44,Bob Doll,F-C,30,BOS,47,,,120,347,.346,,,,120,347,.346,.346,75,114,.658,,,,108,,,,117,315,1950
56,45,Harry Donovan,G,23,NYK,45,,,90,275,.327,,,,90,275,.327,.327,73,106,.689,,,,38,,,,107,253,1950
57,46,Andy Duncan,F-C,27,ROC,67,,,125,289,.433,,,,125,289,.433,.433,60,108,.556,,,,42,,,,160,310,1950
58,47,Dike Eddleman,SF,27,TRI,64,,,332,906,.366,,,,332,906,.366,.366,162,260,.623,,,,142,,,,254,826,1950
59,48,Gene Englund,F-C,32,TOT,46,,,104,274,.380,,,,104,274,.380,.380,152,192,.792,,,,41,,,,167,360,1950
60,48,Gene Englund,F-C,32,BOS,24,,,55,148,.372,,,,55,148,.372,.372,86,106,.811,,,,17,,,,97,196,1950
61,48,Gene Englund,F-C,32,TRI,22,,,49,126,.389,,,,49,126,.389,.389,66,86,.767,,,,24,,,,70,164,1950
62,49,Bob Evans,G,24,INO,47,,,56,200,.280,,,,56,200,.280,.280,30,44,.682,,,,55,,,,99,142,1950
63,50,Johnny Ezersky,F-G,27,TOT,54,,,143,487,.294,,,,143,487,.294,.294,127,183,.694,,,,86,,,,139,413,1950
64,50,Johnny Ezersky,F-G,27,BLB,38,,,107,351,.305,,,,107,351,.305,.305,92,132,.697,,,,64,,,,100,306,1950
65,50,Johnny Ezersky,F-G,27,BOS,16,,,36,136,.265,,,,36,136,.265,.265,35,51,.686,,,,22,,,,39,107,1950
66,51,Bob Feerick,F-G,30,WSC,60,,,172,500,.344,,,,172,500,.344,.344,139,174,.799,,,,127,,,,140,483,1950
67,52,George Feigenbaum,G,21,BLB,12,,,14,57,.246,,,,14,57,.246,.246,8,18,.444,,,,10,,,,15,36,1950
68,53,Arnie Ferrin,F-G,24,MNL,63,,,132,396,.333,,,,132,396,.333,.333,76,109,.697,,,,95,,,,147,340,1950
69,54,Jerry Fleishman,SG,27,PHW,65,,,102,353,.289,,,,102,353,.289,.289,93,151,.616,,,,118,,,,129,297,1950
70,55,Joe Fulks*,PF,28,PHW,68,,,336,1209,.278,,,,336,1209,.278,.278,293,421,.696,,,,56,,,,240,965,1950
71,56,Bill Gabor,SG,27,SYR,56,,,226,671,.337,,,,226,671,.337,.337,157,228,.689,,,,108,,,,198,609,1950
72,57,Elmer Gainer,F-C,31,WAT,15,,,9,35,.257,,,,9,35,.257,.257,6,8,.750,,,,7,,,,28,24,1950
73,58,Harry Gallatin*,F-C,22,NYK,68,,,263,664,.396,,,,263,664,.396,.396,277,366,.757,,,,56,,,,215,803,1950
74,59,Vern Gardner,SG,24,PHW,63,,,313,916,.342,,,,313,916,.342,.342,227,296,.767,,,,119,,,,236,853,1950
75,60,Frank Gates,G,29,AND,64,,,113,402,.281,,,,113,402,.281,.281,61,98,.622,,,,91,,,,147,287,1950
76,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1950
77,61,Dee Gibson,F-G,26,TRI,44,,,77,245,.314,,,,77,245,.314,.314,127,177,.718,,,,126,,,,113,281,1950
78,62,Hoot Gibson,F-C,28,TOT,32,,,67,195,.344,,,,67,195,.344,.344,42,64,.656,,,,37,,,,106,176,1950
79,62,Hoot Gibson,F-C,28,BOS,2,,,3,4,.750,,,,3,4,.750,.750,1,4,.250,,,,1,,,,3,7,1950
80,62,Hoot Gibson,F-C,28,WAT,30,,,64,191,.335,,,,64,191,.335,.335,41,60,.683,,,,36,,,,103,169,1950
81,63,Chuck Gilmur,F-C,27,WSC,68,,,127,379,.335,,,,127,379,.335,.335,164,241,.680,,,,108,,,,275,418,1950
