,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot_1,Off_1,Shoot_2,Off_2,PGA,And1,Blkd,Season
25,21,Ömer Aşık,C,30,NOP,31,482,,,,1%,99%,-5.2,-3.7,7,3,29,2,19,1,38,4,13,2017
26,22,D.J. Augustin,PG,29,ORL,78,1538,100%,,,,,-15.0,-13.1,59,20,31,10,64,14,482,10,35,2017
27,23,Luke Babbitt,SF,27,MIA,68,1065,,1%,22%,78%,,1.0,-0.2,11,3,57,8,4,3,86,0,7,2017
28,24,Ron Baker,SG,23,NYK,52,857,3%,56%,41%,,,-3.1,1.0,36,14,35,2,15,10,248,4,16,2017
29,25,Wade Baldwin,PG,20,MEM,33,405,83%,18%,,,,-16.1,-18.7,23,8,19,4,14,4,152,1,10,2017
30,26,Leandro Barbosa,SG,34,PHO,67,963,3%,90%,7%,,,-3.0,3.8,29,14,19,2,18,8,184,6,23,2017
31,27,J.J. Barea,PG,32,DAL,35,771,93%,7%,,,,0.2,4.3,49,11,9,1,0,24,430,2,15,2017
32,28,Harrison Barnes,PF,24,DAL,79,2803,,,40%,60%,,-3.0,0.7,37,44,63,13,109,6,325,27,50,2017
33,29,Matt Barnes,SF,36,TOT,74,1777,,2%,72%,26%,,-2.0,-7.8,74,18,105,8,30,6,447,4,21,2017
34,29,Matt Barnes,SF,36,SAC,54,1367,,3%,83%,14%,,-4.0,-0.1,59,15,79,6,21,6,342,4,19,2017
35,29,Matt Barnes,SF,36,GSW,20,410,,,34%,66%,,4.5,-8.1,15,3,26,2,9,0,105,0,2,2017
36,30,Will Barton,SG,26,DEN,60,1705,,78%,22%,,,-2.5,-4.6,47,30,49,10,79,4,507,19,45,2017
37,31,Brandon Bass,PF,31,LAC,52,577,,,1%,83%,16%,-13.3,-20.3,8,12,21,5,48,0,53,13,16,2017
