,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9,2P_FGAxDist,0_3_FGAxDist,3_10_FGAxDist,10_16_FGAxDist,16_3P_FGAxDist,3P_FGAxDist,Unnamed: 16,2P_FGPxDist,0_3_FGPxDist,3_10_FGPxDist,10_16_FGPxDist,16_3P_FGPxDist,3P_FGPxDist,Unnamed: 23,2PAstP,3PAstP,Unnamed: 26,Dunks_FGA,Num_Dunks,Unnamed: 29,Corner_3PFGA,Corner_3PP,Unnamed: 32,Heaves_Att,Heaves_Made,Season
78,64,Jabari Brown,SG,22,LAL,19,568,.412,14.6,,.635,.276,.112,.094,.153,.365,,.435,.553,.316,.313,.385,.371,,.638,.913,,.024,3,,.145,.333,,0,0,2015
79,65,Lorenzo Brown,PG,24,MIN,29,549,.426,11.9,,.770,.369,.131,.139,.131,.230,,.489,.556,.438,.294,.563,.214,,.348,.667,,.041,4,,.143,.000,,1,0,2015
80,66,Markel Brown,SG,23,BRK,47,781,.362,13.7,,.695,.290,.110,.090,.205,.305,,.404,.541,.348,.316,.279,.266,,.576,.941,,.062,10,,.406,.308,,1,0,2015
81,67,Shannon Brown,SG,29,MIA,5,89,.368,13.3,,.632,.421,.000,.053,.158,.368,,.333,.500,,.000,.000,.429,,.000,.333,,.158,3,,.286,1.000,,0,0,2015
82,68,Kobe Bryant*,SG,36,LAL,35,1207,.373,15.7,,.742,.136,.129,.185,.292,.258,,.401,.567,.380,.311,.389,.293,,.278,.463,,.010,7,,.103,.474,,1,0,2015
83,69,Chase Budinger,SF,26,MIN,67,1286,.433,13.8,,.633,.259,.136,.100,.136,.367,,.474,.634,.358,.359,.358,.364,,.667,1.000,,.036,13,,.273,.385,,0,0,2015
84,70,Reggie Bullock,SF,23,TOT,36,338,.343,19.8,,.343,.143,.043,.000,.157,.657,,.375,.700,.000,,.182,.326,,.778,1.000,,.000,0,,.435,.450,,0,0,2015
85,70,Reggie Bullock,SF,23,LAC,25,263,.426,20.8,,.278,.130,.019,.000,.130,.722,,.533,.857,.000,,.286,.385,,.875,1.000,,.000,0,,.487,.474,,0,0,2015
86,70,Reggie Bullock,SF,23,PHO,11,75,.063,16.5,,.563,.188,.125,.000,.250,.438,,.111,.333,.000,,.000,.000,,.000,,,.000,0,,.143,.000,,0,0,2015
87,71,Trey Burke,PG,22,UTA,76,2288,.368,16.5,,.612,.149,.156,.085,.222,.388,,.400,.493,.306,.412,.399,.318,,.211,.895,,.000,0,,.190,.419,,6,1,2015
88,72,Alec Burks,SG,23,UTA,27,899,.403,12.8,,.773,.277,.190,.083,.223,.227,,.409,.506,.333,.280,.403,.382,,.316,.769,,.033,9,,.250,.471,,2,0,2015
89,73,Caron Butler,SF,34,DET,78,1623,.407,20.9,,.447,.063,.033,.078,.273,.553,,.441,.520,.308,.484,.426,.379,,.679,.928,,.003,1,,.228,.480,,3,0,2015
90,74,Jimmy Butler,SG,25,CHI,65,2513,.462,12.2,,.788,.336,.121,.121,.212,.212,,.484,.624,.345,.427,.373,.378,,.569,.918,,.058,49,,.244,.447,,2,0,2015
91,75,Rasual Butler,SF,35,WAS,75,1505,.422,17.8,,.545,.141,.066,.104,.234,.455,,.450,.671,.412,.315,.388,.387,,.685,.934,,.043,21,,.426,.410,,0,0,2015
92,76,Dwight Buycks,PG,25,LAL,6,123,.450,13.5,,.725,.300,.075,.125,.225,.275,,.379,.417,.000,.800,.222,.636,,.091,.571,,.000,0,,.091,1.000,,0,0,2015
93,77,Will Bynum,SG,32,WAS,7,67,.323,15.3,,.710,.161,.161,.097,.290,.290,,.455,.400,1.000,.000,.333,.000,,.100,,,.000,0,,.000,,,0,0,2015
94,78,Bruno Caboclo,SF,19,TOR,8,23,.333,10.7,,.750,.250,.417,.000,.083,.250,,.222,.667,.000,,.000,.667,,1.000,1.000,,.083,1,,.333,1.000,,0,0,2015
95,79,Nick Calathes,SG,25,MEM,58,838,.421,9.6,,.826,.352,.271,.109,.089,.174,,.456,.632,.388,.296,.182,.256,,.452,.727,,.000,0,,.186,.125,,0,0,2015
96,80,José Calderón,PG,33,NYK,42,1270,.415,18.9,,.599,.102,.025,.102,.370,.401,,.415,.611,.333,.333,.389,.415,,.545,.864,,.000,0,,.197,.500,,0,0,2015
97,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
98,81,Kentavious Caldwell-Pope,SG,21,DET,82,2587,.401,16.2,,.543,.226,.099,.080,.138,.457,,.449,.600,.260,.436,.343,.345,,.608,.863,,.036,30,,.241,.383,,4,0,2015
99,82,Isaiah Canaan,PG,23,TOT,47,938,.386,19.0,,.349,.172,.079,.026,.071,.651,,.417,.462,.400,.300,.370,.370,,.218,.516,,.000,0,,.154,.368,,1,0,2015
100,82,Isaiah Canaan,PG,23,HOU,25,369,.405,18.3,,.359,.214,.061,.023,.061,.641,,.447,.536,.125,.333,.500,.381,,.286,.563,,.000,0,,.238,.300,,1,0,2015
101,82,Isaiah Canaan,PG,23,PHI,22,569,.377,19.4,,.344,.150,.089,.028,.077,.656,,.400,.405,.500,.286,.316,.364,,.176,.492,,.000,0,,.111,.444,,0,0,2015
102,83,Clint Capela,C,20,HOU,12,90,.483,2.0,,1.000,.724,.276,.000,.000,.000,,.483,.667,.000,,,,,.929,,,.379,10,,,,,0,0,2015
103,84,DeMarre Carroll,SF,28,ATL,70,2189,.487,14.3,,.534,.308,.121,.043,.063,.466,,.567,.657,.468,.357,.463,.395,,.727,.992,,.018,12,,.438,.444,,0,0,2015
104,85,Vince Carter,SG,38,MEM,66,1091,.333,19.3,,.429,.131,.074,.067,.158,.571,,.379,.472,.333,.407,.313,.297,,.242,.928,,.012,5,,.138,.375,,2,0,2015
105,86,Michael Carter-Williams,PG,23,TOT,66,2149,.396,10.6,,.834,.323,.236,.098,.177,.166,,.428,.596,.341,.411,.245,.235,,.204,.917,,.032,27,,.118,.222,,2,0,2015
106,86,Michael Carter-Williams,PG,23,PHI,41,1391,.380,11.5,,.795,.303,.231,.079,.185,.205,,.412,.627,.305,.313,.230,.256,,.210,.906,,.025,15,,.080,.200,,1,0,2015
