,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9,2P_FGAxDist,0_3_FGAxDist,3_10_FGAxDist,10_16_FGAxDist,16_3P_FGAxDist,3P_FGAxDist,Unnamed: 16,2P_FGPxDist,0_3_FGPxDist,3_10_FGPxDist,10_16_FGPxDist,16_3P_FGPxDist,3P_FGPxDist,Unnamed: 23,2PAstP,3PAstP,Unnamed: 26,Dunks_FGA,Num_Dunks,Unnamed: 29,Corner_3PFGA,Corner_3PP,Unnamed: 32,Heaves_Att,Heaves_Made,Season
175,133,Zoran Dragić,SG,25,MIA,10,62,.409,13.2,,.591,.409,.045,.045,.091,.409,,.462,.667,.000,.000,.000,.333,,.500,1.000,,.045,1,,.333,.667,,0,0,2015
176,134,Larry Drew II,PG,24,PHI,12,219,.345,0.0,,.552,.000,.000,.000,.000,.448,,.500,,,,,.154,,.375,.750,,.000,0,,.000,,,0,0,2015
177,135,Andre Drummond,C,21,DET,82,2502,.514,2.8,,.998,.682,.292,.019,.003,.002,,.515,.600,.345,.111,.000,.000,,.579,,,.196,166,,.000,,,2,0,2015
178,136,Jared Dudley,SG,29,MIL,72,1717,.468,17.4,,.546,.168,.050,.111,.217,.454,,.537,.662,.238,.553,.500,.385,,.782,1.000,,.005,2,,.359,.391,,0,0,2015
179,137,Tim Duncan*,C,38,SAS,77,2227,.512,7.4,,.991,.350,.358,.138,.144,.009,,.514,.714,.454,.327,.356,.286,,.739,1.000,,.057,42,,.286,1.000,,2,0,2015
180,138,Mike Dunleavy,SF,34,CHI,63,1838,.435,18.5,,.453,.170,.064,.031,.185,.547,,.468,.573,.323,.267,.461,.407,,.765,.963,,.004,1,,.186,.449,,2,1,2015
181,139,Kevin Durant,SF,26,OKC,27,913,.510,14.9,,.660,.206,.109,.184,.161,.340,,.565,.802,.412,.535,.400,.403,,.511,.656,,.079,37,,.094,.533,,0,0,2015
182,140,Cleanthony Early,SF,23,NYK,39,647,.355,14.7,,.607,.280,.112,.051,.164,.393,,.415,.567,.292,.545,.200,.262,,.593,.909,,.065,11,,.310,.346,,0,0,2015
183,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
184,141,Wayne Ellington,SG,27,LAL,65,1675,.412,17.5,,.606,.160,.057,.075,.313,.394,,.439,.616,.286,.370,.394,.370,,.579,.689,,.016,9,,.165,.300,,0,0,2015
185,142,Monta Ellis,SG,29,DAL,80,2699,.445,13.6,,.790,.249,.145,.090,.306,.210,,.487,.626,.391,.418,.439,.285,,.319,.704,,.010,13,,.204,.362,,1,0,2015
186,143,James Ennis,SF,24,MIA,62,1051,.409,13.1,,.615,.372,.105,.024,.113,.385,,.461,.587,.269,.333,.250,.326,,.600,.935,,.093,20,,.453,.349,,1,0,2015
187,144,Tyler Ennis,PG,20,TOT,33,411,.361,12.8,,.701,.306,.181,.090,.125,.299,,.396,.455,.346,.462,.278,.279,,.325,.667,,.014,2,,.233,.300,,0,0,2015
188,144,Tyler Ennis,PG,20,PHO,8,58,.429,12.3,,.714,.238,.286,.095,.095,.286,,.467,.600,.667,.000,.000,.333,,.429,.500,,.000,0,,.000,,,0,0,2015
189,144,Tyler Ennis,PG,20,MIL,25,353,.350,12.8,,.699,.317,.163,.089,.130,.301,,.384,.436,.250,.545,.313,.270,,.303,.700,,.016,2,,.270,.300,,0,0,2015
190,145,Jeremy Evans,SF,27,UTA,38,266,.552,6.6,,.914,.569,.155,.086,.103,.086,,.566,.788,.333,.200,.000,.400,,.633,1.000,,.172,9,,.600,.667,,0,0,2015
191,146,Reggie Evans,PF,34,SAC,47,764,.423,3.6,,.985,.555,.387,.036,.007,.015,,.430,.592,.226,.000,1.000,.000,,.603,,,.073,7,,.500,.000,,0,0,2015
192,147,Tyreke Evans,SG,25,NOP,79,2690,.447,9.1,,.805,.537,.135,.023,.110,.195,,.482,.558,.280,.333,.391,.304,,.252,.696,,.006,7,,.220,.340,,6,0,2015
193,148,Dante Exum,PG,19,UTA,82,1817,.349,18.9,,.365,.125,.111,.022,.108,.635,,.408,.731,.283,.111,.222,.314,,.468,.940,,.038,16,,.394,.327,,1,0,2015
194,149,Festus Ezeli,C,25,GSW,46,504,.547,4.5,,1.000,.518,.381,.065,.036,.000,,.547,.653,.491,.333,.000,,,.632,,,.237,28,,,,,0,0,2015
195,150,Kenneth Faried,PF,25,DEN,75,2086,.507,4.3,,.989,.575,.325,.056,.034,.011,,.511,.631,.351,.341,.280,.125,,.642,.000,,.154,99,,.250,.500,,4,0,2015
196,151,Jordan Farmar,PG,28,LAC,36,529,.386,20.3,,.386,.108,.032,.051,.196,.614,,.426,.588,.200,.375,.387,.361,,.269,.714,,.000,0,,.206,.350,,0,0,2015
197,152,Derrick Favors,PF,23,UTA,74,2280,.525,7.2,,.993,.436,.220,.204,.134,.007,,.527,.745,.327,.401,.341,.167,,.680,1.000,,.117,105,,.333,.500,,0,0,2015
198,153,Raymond Felton,PG,30,DAL,29,281,.406,15.1,,.679,.236,.113,.085,.245,.321,,.458,.600,.333,.444,.385,.294,,.242,.600,,.000,0,,.118,.000,,1,0,2015
199,154,Landry Fields,SF,26,TOR,26,216,.488,5.5,,.951,.463,.341,.146,.024,.049,,.487,.684,.214,.500,.000,.500,,.632,1.000,,.073,3,,.500,1.000,,0,0,2015
200,155,Evan Fournier,SG,22,ORL,58,1661,.440,13.9,,.609,.339,.125,.040,.104,.391,,.480,.636,.250,.217,.350,.378,,.446,.776,,.037,19,,.196,.341,,3,0,2015
201,156,Randy Foye,SG,31,DEN,50,1087,.368,20.5,,.346,.100,.087,.020,.139,.654,,.388,.625,.286,.375,.286,.357,,.259,.819,,.002,1,,.198,.404,,3,0,2015
202,157,Jamaal Franklin,SG,23,DEN,3,13,.500,26.5,,.000,.000,.000,.000,.000,1.000,,,,,,,.500,,,1.000,,.000,0,,.000,,,0,0,2015
203,158,Tim Frazier,PG,24,TOT,11,239,.344,13.1,,.721,.246,.213,.131,.131,.279,,.364,.600,.154,.375,.250,.294,,.188,.800,,.000,0,,.000,,,0,0,2015
204,158,Tim Frazier,PG,24,PHI,6,171,.302,13.5,,.744,.233,.186,.163,.163,.256,,.313,.400,.125,.429,.286,.273,,.200,.667,,.000,0,,.000,,,0,0,2015
205,158,Tim Frazier,PG,24,POR,5,68,.444,12.1,,.667,.278,.278,.056,.056,.333,,.500,1.000,.200,.000,.000,.333,,.167,1.000,,.000,0,,.000,,,0,0,2015
206,159,Jimmer Fredette,PG,25,NOP,50,509,.380,13.7,,.711,.217,.211,.133,.151,.289,,.458,.528,.457,.409,.400,.188,,.352,.889,,.000,0,,.250,.250,,0,0,2015
207,160,Joel Freeland,C,27,POR,48,617,.490,9.0,,1.000,.325,.245,.166,.265,.000,,.490,.612,.514,.400,.375,,,.689,,,.060,9,,,,,0,0,2015
208,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
209,161,Channing Frye,PF,31,ORL,75,1870,.392,21.9,,.290,.047,.060,.033,.150,.710,,.390,.391,.379,.313,.411,.393,,.636,.978,,.006,2,,.095,.333,,0,0,2015
210,162,Danilo Gallinari,SF,26,DEN,59,1426,.401,18.2,,.470,.167,.088,.048,.167,.530,,.453,.632,.280,.481,.358,.355,,.438,.879,,.030,15,,.216,.385,,4,1,2015
211,163,Langston Galloway,PG,23,NYK,45,1457,.399,16.1,,.656,.219,.086,.080,.266,.344,,.424,.500,.273,.366,.434,.352,,.472,.742,,.020,9,,.131,.304,,5,1,2015
212,164,Francisco García,SF,33,HOU,14,200,.270,20.7,,.286,.127,.048,.095,.016,.714,,.389,.750,.000,.167,.000,.222,,.571,.900,,.016,1,,.378,.294,,2,0,2015
213,165,Kevin Garnett*,PF,38,TOT,47,952,.467,14.0,,.977,.147,.134,.170,.526,.023,,.475,.533,.390,.423,.497,.143,,.789,1.000,,.020,3,,.286,.000,,0,0,2015
214,165,Kevin Garnett*,PF,38,BRK,42,854,.455,13.7,,.978,.153,.145,.178,.502,.022,,.461,.500,.400,.429,.478,.167,,.766,1.000,,.022,3,,.333,.000,,0,0,2015
215,165,Kevin Garnett*,PF,38,MIN,5,98,.581,16.4,,.968,.097,.032,.097,.742,.032,,.600,1.000,.000,.333,.609,.000,,.944,,,.000,0,,.000,,,0,0,2015
216,166,Marc Gasol,C,30,MEM,81,2687,.494,10.1,,.984,.239,.283,.221,.242,.016,,.500,.699,.469,.430,.402,.176,,.628,.667,,.054,56,,.000,,,3,0,2015
217,167,Pau Gasol,PF,34,CHI,78,2681,.494,9.2,,.977,.311,.253,.166,.240,.023,,.495,.613,.438,.403,.477,.462,,.609,1.000,,.049,54,,.808,.524,,1,0,2015
218,168,Rudy Gay,SF,28,SAC,68,2408,.455,12.3,,.803,.198,.272,.165,.168,.197,,.479,.629,.432,.467,.388,.359,,.312,.734,,.060,60,,.223,.347,,1,0,2015
219,169,Alonzo Gee,SF,27,TOT,54,662,.468,7.5,,.812,.570,.129,.054,.059,.188,,.490,.623,.167,.100,.273,.371,,.473,1.000,,.188,33,,.829,.414,,0,0,2015
220,169,Alonzo Gee,SF,27,DEN,39,511,.482,7.3,,.825,.569,.153,.044,.058,.175,,.496,.654,.095,.167,.250,.417,,.518,1.000,,.204,27,,.833,.450,,0,0,2015
221,169,Alonzo Gee,SF,27,POR,15,151,.429,8.3,,.776,.571,.061,.082,.061,.224,,.474,.536,.667,.000,.333,.273,,.333,1.000,,.143,6,,.818,.333,,0,0,2015
222,170,Paul George,SF,24,IND,6,91,.367,17.0,,.551,.204,.041,.143,.163,.449,,.333,.400,.000,.429,.250,.409,,.333,.889,,.061,2,,.227,.200,,0,0,2015
223,171,Taj Gibson,PF,29,CHI,62,1692,.502,5.5,,1.000,.559,.194,.168,.081,.000,,.502,.618,.347,.341,.415,,,.717,,,.144,67,,,,,0,0,2015
224,172,Manu Ginóbili,SG,37,SAS,70,1587,.426,14.4,,.562,.280,.151,.070,.061,.438,,.489,.594,.449,.366,.250,.345,,.451,.798,,.002,1,,.167,.465,,1,0,2015
225,173,Rudy Gobert,C,22,UTA,82,2158,.604,2.1,,.995,.785,.192,.007,.014,.005,,.607,.710,.244,.000,.000,.000,,.597,,,.344,135,,.000,,,0,0,2015
226,174,Drew Gooden,PF,33,WAS,51,864,.399,15.4,,.786,.221,.094,.080,.388,.214,,.401,.459,.231,.455,.402,.390,,.655,.957,,.007,2,,.203,.500,,1,0,2015
227,175,Archie Goodwin,SG,20,PHO,41,535,.393,9.7,,.796,.527,.124,.035,.109,.204,,.419,.528,.200,.143,.227,.293,,.358,.917,,.085,14,,.195,.375,,2,0,2015
228,176,Aaron Gordon,PF,19,ORL,47,797,.447,9.5,,.769,.462,.149,.096,.063,.231,,.500,.635,.419,.100,.308,.271,,.488,.923,,.125,22,,.542,.346,,1,0,2015
229,177,Ben Gordon,SG,31,ORL,56,790,.437,16.8,,.671,.088,.149,.136,.298,.329,,.475,.500,.591,.400,.443,.361,,.330,.714,,.000,0,,.186,.611,,0,0,2015
230,178,Drew Gordon,PF,24,PHI,9,71,.421,9.4,,.842,.474,.158,.053,.158,.158,,.500,.667,.667,.000,.000,.000,,.875,,,.053,1,,.000,,,0,0,2015
231,179,Eric Gordon,SG,26,NOP,61,2018,.411,16.2,,.546,.199,.150,.063,.133,.454,,.380,.464,.317,.273,.380,.448,,.361,.943,,.000,0,,.156,.429,,2,0,2015
232,180,Marcin Gortat,C,30,WAS,82,2453,.566,6.0,,.996,.471,.277,.186,.062,.004,,.569,.740,.414,.438,.354,.000,,.768,,,.077,58,,.000,,,0,0,2015
233,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
234,181,Danny Granger,SF,31,MIA,30,613,.401,18.1,,.481,.154,.049,.093,.185,.519,,.449,.560,.500,.400,.367,.357,,.571,.933,,.006,1,,.298,.400,,0,0,2015
235,182,Jerami Grant,SF,20,PHI,65,1377,.352,14.0,,.557,.321,.128,.040,.068,.443,,.383,.540,.111,.214,.250,.314,,.613,.980,,.082,27,,.276,.372,,0,0,2015
236,183,Danny Green,SG,27,SAS,81,2312,.436,18.5,,.381,.169,.058,.056,.099,.619,,.466,.584,.465,.317,.342,.418,,.649,.937,,.007,4,,.326,.470,,1,0,2015
237,184,Draymond Green,PF,24,GSW,79,2490,.443,14.1,,.570,.329,.120,.051,.069,.430,,.523,.687,.207,.462,.340,.337,,.737,1.000,,.051,36,,.085,.286,,0,0,2015
238,185,Erick Green,PG,23,DEN,43,410,.377,17.1,,.710,.074,.130,.136,.370,.290,,.409,.667,.476,.318,.367,.298,,.489,.929,,.019,3,,.340,.375,,0,0,2015
239,186,Gerald Green,SG,29,PHO,74,1446,.416,18.0,,.503,.132,.072,.130,.168,.497,,.478,.660,.411,.446,.389,.354,,.385,.737,,.040,28,,.266,.359,,3,0,2015
240,187,JaMychal Green,PF,24,TOT,24,164,.574,8.4,,.872,.574,.085,.000,.213,.128,,.659,.741,1.000,,.300,.000,,.593,,,.128,6,,.500,.000,,0,0,2015
241,187,JaMychal Green,PF,24,SAS,4,25,.571,10.4,,.714,.571,.000,.000,.143,.286,,.800,1.000,,,.000,.000,,.500,,,.000,0,,.500,.000,,0,0,2015
242,187,JaMychal Green,PF,24,MEM,20,139,.575,8.1,,.900,.575,.100,.000,.225,.100,,.639,.696,1.000,,.333,.000,,.609,,,.150,6,,.500,.000,,0,0,2015
243,188,Jeff Green,SF,28,TOT,78,2454,.430,13.0,,.698,.262,.212,.100,.124,.302,,.473,.628,.429,.361,.308,.332,,.498,.856,,.069,55,,.267,.423,,5,0,2015
244,188,Jeff Green,SF,28,BOS,33,1093,.434,13.8,,.676,.232,.200,.116,.128,.324,,.495,.655,.474,.364,.361,.305,,.503,.894,,.061,27,,.214,.394,,2,0,2015
245,188,Jeff Green,SF,28,MEM,45,1361,.427,12.3,,.720,.291,.224,.085,.120,.280,,.452,.608,.391,.357,.254,.362,,.494,.820,,.077,28,,.326,.444,,3,0,2015
246,189,Willie Green,SG,33,ORL,52,951,.386,16.2,,.605,.193,.124,.049,.239,.395,,.411,.593,.211,.200,.411,.347,,.408,.833,,.023,7,,.372,.400,,1,0,2015
247,190,Blake Griffin,PF,25,LAC,67,2356,.502,10.4,,.978,.328,.190,.082,.378,.022,,.504,.715,.392,.383,.404,.400,,.672,.800,,.080,84,,.240,.500,,1,0,2015
248,191,Jorge Gutiérrez,PG,26,TOT,20,175,.537,10.3,,.927,.390,.146,.073,.317,.073,,.579,.688,.500,.667,.462,.000,,.682,,,.000,0,,.333,.000,,0,0,2015
249,191,Jorge Gutiérrez,PG,26,BRK,10,44,.500,11.5,,.929,.286,.214,.071,.357,.071,,.538,1.000,.333,.000,.400,.000,,.286,,,.000,0,,.000,,,0,0,2015
250,191,Jorge Gutiérrez,PG,26,MIL,10,131,.556,9.7,,.926,.444,.111,.074,.296,.074,,.600,.583,.667,1.000,.500,.000,,.867,,,.000,0,,.500,.000,,0,0,2015
251,192,P.J. Hairston,SG,22,CHO,45,687,.323,19.2,,.394,.171,.067,.048,.108,.606,,.358,.348,.389,.538,.276,.301,,.553,.939,,.007,0,,.147,.417,,2,0,2015
252,193,Jordan Hamilton,SF,24,LAC,14,122,.400,19.3,,.400,.086,.143,.086,.086,.600,,.286,.667,.200,.333,.000,.476,,.250,.800,,.000,0,,.095,1.000,,0,0,2015
253,194,Justin Hamilton,C,24,TOT,41,712,.478,9.3,,.826,.438,.191,.079,.118,.174,,.510,.615,.412,.429,.333,.323,,.747,1.000,,.079,13,,.161,.200,,0,0,2015
254,194,Justin Hamilton,C,24,MIA,24,289,.415,11.7,,.708,.338,.200,.046,.123,.292,,.457,.682,.231,.333,.250,.316,,.762,1.000,,.031,2,,.158,.333,,0,0,2015
255,194,Justin Hamilton,C,24,MIN,17,423,.513,7.9,,.894,.496,.186,.097,.115,.106,,.535,.589,.524,.455,.385,.333,,.741,1.000,,.106,11,,.167,.000,,0,0,2015
256,195,Tyler Hansbrough,PF,29,TOR,74,1058,.521,4.0,,.958,.648,.248,.024,.042,.042,,.538,.570,.488,.250,.429,.143,,.765,1.000,,.127,21,,.857,.167,,0,0,2015
257,196,Tim Hardaway Jr.,SG,22,NYK,70,1681,.389,17.4,,.506,.191,.093,.054,.166,.494,,.435,.606,.269,.308,.378,.342,,.519,.893,,.015,11,,.192,.279,,3,0,2015
258,197,James Harden,SG,25,HOU,81,2981,.440,14.0,,.622,.310,.107,.074,.131,.378,,.480,.618,.291,.431,.337,.375,,.166,.510,,.023,33,,.108,.467,,1,0,2015
259,198,Maurice Harkless,SF,21,ORL,45,674,.399,11.0,,.646,.494,.120,.013,.019,.354,,.520,.590,.368,.000,.000,.179,,.623,1.000,,.196,29,,.536,.200,,2,0,2015
260,199,Devin Harris,PG,31,DAL,76,1685,.418,16.5,,.492,.240,.103,.046,.103,.508,,.481,.619,.389,.167,.389,.357,,.226,.811,,.002,1,,.177,.596,,5,1,2015
261,200,Gary Harris,SG,20,DEN,55,719,.304,16.3,,.525,.230,.078,.088,.129,.475,,.395,.480,.294,.368,.321,.204,,.511,.905,,.055,10,,.330,.147,,0,0,2015
262,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
263,201,Joe Harris,SG,23,CLE,51,493,.400,19.4,,.300,.125,.067,.042,.067,.700,,.472,.533,.375,.400,.500,.369,,.765,.968,,.000,0,,.536,.378,,0,0,2015
264,202,Tobias Harris,SF,22,ORL,68,2369,.466,12.0,,.748,.290,.208,.115,.136,.252,,.500,.687,.386,.367,.388,.364,,.558,.966,,.052,46,,.427,.451,,2,0,2015
265,203,Udonis Haslem,PF,34,MIA,62,995,.448,8.8,,.958,.444,.117,.117,.280,.042,,.459,.566,.464,.286,.358,.200,,.695,1.000,,.067,14,,1.000,.200,,0,0,2015
266,204,Spencer Hawes,PF,26,LAC,73,1274,.393,15.1,,.576,.195,.190,.070,.116,.424,,.452,.593,.354,.414,.396,.313,,.759,1.000,,.031,12,,.159,.250,,1,0,2015
267,205,Chuck Hayes,C,31,TOR,29,255,.478,3.7,,1.000,.565,.391,.043,.000,.000,,.478,.462,.500,.500,,,,.909,,,.000,0,,,,,0,0,2015
268,206,Gordon Hayward,SF,24,UTA,76,2618,.445,14.3,,.696,.206,.175,.119,.197,.304,,.481,.643,.353,.426,.458,.364,,.299,.858,,.046,50,,.142,.426,,1,0,2015
269,207,Brendan Haywood,C,35,CLE,22,119,.467,6.7,,1.000,.167,.667,.133,.033,.000,,.467,.800,.350,.500,1.000,,,.786,,,.067,2,,,,,0,0,2015
270,208,Gerald Henderson,SG,27,CHO,80,2315,.437,13.6,,.839,.210,.106,.189,.334,.161,,.457,.629,.356,.406,.410,.331,,.517,.956,,.044,36,,.493,.418,,0,0,2015
271,209,Xavier Henry,SF,23,LAL,9,86,.231,10.2,,1.000,.385,.077,.231,.308,.000,,.231,.200,.000,.333,.250,,,.667,,,.000,0,,,,,0,0,2015
272,210,John Henson,C,24,MIL,67,1228,.566,2.9,,1.000,.642,.329,.023,.003,.000,,.566,.644,.456,.000,.000,,,.760,,,.176,55,,,,,0,0,2015
273,211,Roy Hibbert,C,28,IND,76,1926,.446,9.0,,.997,.217,.397,.172,.211,.003,,.448,.558,.443,.328,.440,.000,,.603,,,.049,29,,.000,,,0,0,2015
274,212,J.J. Hickson,C,26,DEN,73,1411,.475,4.7,,.996,.553,.298,.096,.048,.004,,.477,.610,.343,.250,.227,.000,,.670,,,.163,68,,.500,.000,,1,0,2015
275,213,Nenê,PF,32,WAS,67,1693,.511,8.2,,.992,.423,.158,.191,.220,.008,,.513,.697,.337,.383,.402,.200,,.699,1.000,,.106,63,,.600,.000,,0,0,2015
276,214,George Hill,PG,28,IND,43,1267,.477,14.9,,.639,.226,.140,.123,.150,.361,,.544,.702,.427,.500,.450,.358,,.237,.725,,.019,9,,.223,.326,,2,0,2015
277,215,Jordan Hill,C,27,LAL,70,1874,.459,10.8,,.986,.245,.227,.136,.368,.014,,.462,.689,.403,.340,.395,.273,,.619,.333,,.058,42,,.545,.333,,0,0,2015
278,216,Solomon Hill,SF,23,IND,82,2381,.396,12.4,,.672,.353,.140,.084,.095,.328,,.430,.500,.337,.377,.350,.327,,.350,.971,,.060,30,,.346,.375,,1,0,2015
279,217,Kirk Hinrich,SG,34,CHI,66,1610,.373,17.9,,.559,.110,.118,.050,.278,.441,,.394,.571,.333,.316,.368,.345,,.452,.931,,.000,0,,.375,.381,,1,0,2015
280,218,Jrue Holiday,PG,24,NOP,40,1303,.446,12.6,,.747,.260,.180,.172,.135,.253,,.469,.561,.438,.457,.347,.378,,.160,.549,,.004,2,,.259,.400,,0,0,2015
281,219,Justin Holiday,SG,25,GSW,59,657,.387,17.1,,.536,.200,.072,.068,.191,.464,,.444,.553,.294,.563,.356,.321,,.750,.943,,.064,13,,.239,.462,,1,0,2015
282,220,Ryan Hollins,C,30,SAC,46,441,.646,4.9,,1.000,.573,.244,.061,.122,.000,,.646,.809,.450,.400,.400,,,.642,,,.293,23,,,,,0,0,2015
283,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
284,221,Rodney Hood,SG,22,UTA,50,1064,.414,16.9,,.545,.128,.182,.099,.136,.455,,.456,.667,.382,.486,.333,.365,,.323,.855,,.016,6,,.206,.286,,2,0,2015
285,222,Al Horford,C,28,ATL,76,2318,.538,10.6,,.963,.286,.213,.111,.352,.037,,.547,.750,.408,.458,.494,.306,,.789,.909,,.088,81,,.806,.379,,0,0,2015
286,223,Dwight Howard,C,29,HOU,41,1223,.593,3.1,,.995,.624,.364,.002,.005,.005,,.594,.723,.377,.000,.500,.500,,.612,1.000,,.265,104,,.000,,,1,0,2015
287,224,Lester Hudson,SG,30,LAC,5,56,.429,15.6,,.571,.214,.143,.071,.143,.429,,.375,.667,.500,.000,.000,.500,,.333,.667,,.000,0,,.500,.333,,0,0,2015
288,225,Robbie Hummel,SF,25,MIN,45,742,.459,16.5,,.703,.174,.076,.041,.413,.297,,.521,.900,.154,.429,.437,.314,,.794,1.000,,.012,2,,.471,.333,,0,0,2015
289,226,Kris Humphries,PF,29,WAS,64,1345,.473,10.8,,.984,.325,.110,.164,.386,.016,,.481,.614,.265,.479,.430,.000,,.791,,,.096,43,,.714,.000,,0,0,2015
290,227,Serge Ibaka,PF,25,OKC,64,2116,.476,14.4,,.739,.197,.132,.118,.291,.261,,.511,.697,.413,.505,.432,.376,,.741,.987,,.064,46,,.180,.405,,0,0,2015
291,228,Andre Iguodala,SF,31,GSW,77,2069,.466,15.2,,.573,.290,.071,.079,.133,.427,,.553,.750,.286,.359,.379,.349,,.643,.905,,.141,64,,.377,.325,,6,0,2015
292,229,Ersan İlyasova,PF,27,MIL,58,1319,.472,13.9,,.659,.343,.068,.054,.194,.341,,.515,.597,.263,.400,.491,.389,,.714,.973,,.007,3,,.126,.500,,0,0,2015
293,230,Joe Ingles,SF,27,UTA,79,1673,.415,18.9,,.429,.119,.093,.051,.167,.571,,.493,.738,.273,.556,.424,.356,,.293,.931,,.014,5,,.317,.453,,1,0,2015
294,231,Kyrie Irving,PG,22,CLE,75,2730,.468,13.4,,.694,.273,.148,.137,.136,.306,,.491,.611,.344,.420,.482,.415,,.219,.618,,.003,4,,.204,.468,,2,1,2015
295,232,Jarrett Jack,PG,31,BRK,80,2241,.439,14.2,,.821,.131,.214,.204,.272,.179,,.477,.607,.503,.395,.455,.267,,.191,.872,,.001,1,,.295,.465,,7,0,2015
296,233,Reggie Jackson,PG,24,TOT,77,2268,.434,12.5,,.758,.268,.197,.119,.171,.242,,.477,.618,.418,.429,.359,.299,,.131,.486,,.024,22,,.091,.227,,3,0,2015
297,233,Reggie Jackson,PG,24,OKC,50,1398,.432,13.4,,.726,.236,.186,.099,.205,.274,,.490,.596,.505,.491,.356,.278,,.146,.500,,.030,15,,.114,.222,,0,0,2015
298,233,Reggie Jackson,PG,24,DET,27,870,.436,11.3,,.802,.312,.212,.148,.124,.198,,.460,.641,.315,.371,.365,.337,,.110,.464,,.017,7,,.048,.250,,3,0,2015
299,234,Bernard James,C,29,DAL,16,158,.444,1.7,,1.000,.815,.185,.000,.000,.000,,.444,.545,.000,,,,,.833,,,.185,5,,,,,0,0,2015
300,235,LeBron James,SF,30,CLE,69,2493,.488,12.6,,.735,.332,.127,.116,.159,.265,,.536,.722,.414,.356,.377,.354,,.315,.467,,.072,88,,.115,.385,,1,0,2015
301,236,Al Jefferson,C,30,CHO,65,1992,.481,8.2,,.995,.282,.362,.218,.132,.005,,.482,.639,.445,.391,.391,.400,,.597,.500,,.015,15,,.200,1.000,,0,0,2015
302,237,Cory Jefferson,PF,24,BRK,50,531,.449,9.5,,.910,.347,.216,.162,.186,.090,,.480,.586,.389,.519,.355,.133,,.534,1.000,,.174,21,,.333,.400,,1,0,2015
303,238,Richard Jefferson,SF,34,DAL,74,1244,.444,15.0,,.522,.253,.136,.040,.093,.478,,.462,.634,.295,.077,.400,.426,,.577,.924,,.080,21,,.413,.438,,0,0,2015
304,239,John Jenkins,SG,23,ATL,24,297,.495,19.5,,.475,.121,.020,.040,.293,.525,,.596,.917,.000,.250,.552,.404,,.786,.905,,.000,0,,.308,.438,,0,0,2015
305,240,Brandon Jennings,PG,25,DET,41,1173,.401,14.6,,.611,.280,.118,.087,.127,.389,,.428,.520,.313,.340,.391,.360,,.261,.461,,.006,3,,.147,.516,,1,0,2015
306,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
307,241,Jonas Jerebko,PF,27,TOT,75,1230,.446,13.8,,.631,.290,.156,.034,.150,.369,,.481,.655,.288,.154,.421,.386,,.687,1.000,,.034,12,,.264,.486,,0,0,2015
308,241,Jonas Jerebko,PF,27,DET,46,703,.460,14.7,,.616,.273,.131,.025,.187,.384,,.516,.593,.500,.200,.459,.368,,.683,1.000,,.015,3,,.237,.389,,0,0,2015
309,241,Jonas Jerebko,PF,27,BOS,29,527,.431,12.9,,.646,.309,.182,.044,.110,.354,,.444,.714,.121,.125,.350,.406,,.692,1.000,,.055,9,,.297,.579,,0,0,2015
310,242,Grant Jerrett,PF,21,TOT,8,51,.269,18.0,,.423,.038,.231,.038,.115,.577,,.545,1.000,.667,1.000,.000,.067,,.500,1.000,,.000,0,,.267,.000,,0,0,2015
311,242,Grant Jerrett,PF,21,OKC,5,25,.176,21.3,,.235,.059,.059,.000,.118,.765,,.500,1.000,1.000,,.000,.077,,.500,1.000,,.000,0,,.308,.000,,0,0,2015
312,242,Grant Jerrett,PF,21,UTA,3,26,.444,11.7,,.778,.000,.556,.111,.111,.222,,.571,,.600,1.000,.000,.000,,.500,,,.000,0,,.000,,,0,0,2015
313,243,Amir Johnson,PF,27,TOR,75,1979,.574,5.8,,.911,.489,.351,.025,.044,.089,,.590,.701,.467,.385,.478,.413,,.685,1.000,,.089,42,,.196,.333,,0,0,2015
