,Player,Pos,Age,Tm,G,MP,PER,TS,Ar3P,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP,Season,PlayerID
444,Noah Vonleh,F,25,BRK,3,8,-20.9,0.0,0.5,0.0,0.0,13.2,7.0,13.9,0.0,0.0,50.0,21.5,-0.1,0.0,-0.1,-0.5329999999999999,-24.1,-9.2,-33.3,-0.1,2021,vonleno01
445,Nikola Vučević,C,30,ORL,28,936,24.1,0.573,0.319,0.139,6.2,30.4,17.8,19.3,1.6,1.6,7.5,28.5,1.9,1.3,3.2,0.163,6.0,0.0,6.1,1.9,2021,vucevni01
446,Dean Wade,PF,24,CLE,23,192,6.1,0.479,0.6729999999999999,0.102,4.5,12.6,8.4,7.2,1.3,0.9,16.3,13.7,-0.1,0.1,0.0,-0.01,-4.1,-1.3,-5.4,-0.2,2021,wadede01
447,Moritz Wagner,C,23,WAS,13,188,16.0,0.672,0.321,0.47200000000000003,3.2,21.4,12.0,10.2,2.2,1.9,11.1,15.8,0.4,0.2,0.6,0.147,-1.0,1.1,0.1,0.1,2021,wagnemo01
448,Kemba Walker,PG,30,BOS,12,333,14.5,0.494,0.478,0.203,2.3,13.7,7.8,22.2,2.1,0.6,11.6,28.8,0.0,0.3,0.3,0.043,0.6,-0.8,-0.2,0.2,2021,walkeke02
449,Lonnie Walker,SG,22,SAS,25,666,8.7,0.509,0.442,0.141,0.8,10.9,5.7,8.8,0.9,1.1,9.0,18.7,-0.3,0.6,0.2,0.018000000000000002,-2.9,-1.7,-4.6,-0.4,2021,walkelo01
450,John Wall,PG,30,HOU,18,555,17.4,0.54,0.348,0.287,1.9,10.9,6.4,34.7,1.4,1.9,15.0,30.1,0.1,0.7,0.8,0.069,2.0,-0.9,1.1,0.4,2021,walljo01
451,Brad Wanamaker,PG,31,GSW,28,455,9.0,0.467,0.386,0.35100000000000003,1.4,9.6,5.6,21.0,2.3,0.8,14.9,14.4,0.0,0.5,0.5,0.055999999999999994,-4.5,0.7,-3.8,-0.2,2021,wanambr01
452,T.J. Warren,SF,27,IND,4,117,12.1,0.56,0.13699999999999998,0.196,1.9,11.2,6.6,6.7,0.8,0.0,6.7,22.0,0.1,0.1,0.1,0.054000000000000006,-3.0,-2.5,-5.5,-0.1,2021,warretj01
453,P.J. Washington,PF,22,CHO,24,691,12.8,0.516,0.342,0.281,6.1,18.4,12.1,14.9,1.5,4.5,15.9,19.0,0.0,0.9,0.9,0.061,-1.9,0.5,-1.4,0.1,2021,washipj01
454,Yuta Watanabe,SF,26,TOR,18,223,11.1,0.514,0.5489999999999999,0.157,7.7,22.1,14.6,4.2,1.9,5.0,12.8,12.0,0.1,0.3,0.4,0.084,-2.0,0.0,-2.0,0.0,2021,watanyu01
455,Tremont Waters,PG,23,BOS,9,90,5.4,0.36,0.444,0.29600000000000004,2.4,7.6,4.9,35.6,2.7,0.0,29.9,20.7,-0.3,0.1,-0.2,-0.091,-4.9,-2.1,-7.0,-0.1,2021,watertr01
456,Paul Watson,SF,26,TOR,13,42,23.0,0.929,0.7859999999999999,0.0,2.5,21.8,11.8,7.7,0.0,4.8,6.7,15.2,0.2,0.0,0.2,0.242,7.2,1.6,8.8,0.1,2021,watsopa01
457,Quinndary Weatherspoon,SG,24,SAS,5,24,-10.1,0.34,0.2,0.4,0.0,8.9,4.3,15.2,2.0,0.0,50.5,21.2,-0.2,0.0,-0.2,-0.31,-18.3,-3.9,-22.2,-0.1,2021,weathqu01
458,Russell Westbrook,PG,32,WAS,18,591,15.0,0.475,0.23399999999999999,0.28,5.1,25.0,14.7,45.8,1.1,0.9,19.1,31.5,-0.8,0.5,-0.3,-0.024,0.4,-1.7,-1.3,0.1,2021,westbru01
459,Coby White,PG,20,CHI,26,880,11.2,0.526,0.489,0.16,1.2,14.0,7.7,22.8,0.5,0.3,14.0,21.7,0.2,0.5,0.7,0.039,-1.4,-2.2,-3.7,-0.4,2021,whiteco01
460,Derrick White,SG,26,SAS,8,189,15.1,0.508,0.512,0.174,0.5,7.3,3.8,24.0,2.0,3.6,7.0,22.6,0.1,0.2,0.3,0.087,0.7,0.8,1.5,0.2,2021,whitede01
461,Hassan Whiteside,C,31,SAC,20,296,22.3,0.617,0.009000000000000001,0.451,11.3,30.6,20.9,4.7,1.0,7.7,12.3,22.3,0.5,0.3,0.8,0.125,-0.2,0.3,0.1,0.2,2021,whiteha01
462,Andrew Wiggins,PF,25,GSW,28,896,14.2,0.5529999999999999,0.35200000000000004,0.239,3.2,11.7,7.6,10.5,1.0,3.7,9.6,23.2,0.2,1.0,1.2,0.066,-0.7,-0.7,-1.4,0.1,2021,wiggian01
463,Grant Williams,PF,22,BOS,23,440,8.4,0.575,0.531,0.302,5.9,12.4,9.0,6.1,1.2,2.1,16.8,12.7,0.2,0.4,0.6,0.065,-3.4,-0.1,-3.5,-0.2,2021,willigr01
464,Kenrich Williams,PF,26,OKC,26,468,14.0,0.601,0.28,0.161,8.5,13.0,10.8,13.7,1.9,0.9,14.8,13.7,0.6,0.5,1.2,0.122,-1.2,0.8,-0.4,0.2,2021,willike04
465,Lou Williams,PG,34,LAC,27,590,17.1,0.537,0.278,0.28600000000000003,2.0,9.7,5.9,26.1,1.8,0.5,11.0,25.9,0.9,0.5,1.4,0.113,0.1,-1.7,-1.6,0.1,2021,willilo02
466,Patrick Williams,PF,19,CHI,25,690,9.2,0.542,0.275,0.265,3.6,14.6,9.2,5.1,1.2,2.2,14.6,16.4,-0.2,0.6,0.4,0.031,-3.5,-1.1,-4.5,-0.4,2021,willipa01
467,Robert Williams,C,23,BOS,19,278,23.5,0.721,0.015,0.324,16.3,23.7,19.9,6.9,3.0,7.3,21.3,15.2,0.7,0.6,1.3,0.21600000000000003,1.2,1.7,3.0,0.4,2021,williro04
468,Zion Williamson,PF,20,NOP,25,818,25.7,0.647,0.034,0.491,8.3,14.6,11.5,15.4,1.4,2.4,11.0,27.6,2.8,0.5,3.3,0.196,4.1,-0.3,3.8,1.2,2021,willizi01
469,D.J. Wilson,PF,24,MIL,10,94,8.1,0.488,0.622,0.054000000000000006,3.5,20.8,12.4,4.0,0.5,2.8,9.6,18.7,-0.1,0.1,0.0,0.019,-3.9,-2.1,-6.0,-0.1,2021,wilsodj01
470,Dylan Windler,SF,24,CLE,15,262,13.5,0.621,0.6459999999999999,0.262,4.5,19.7,11.8,9.9,1.7,2.8,17.1,14.3,0.2,0.3,0.5,0.09,-0.4,0.5,0.0,0.1,2021,windldy01
471,Cassius Winston,PG,22,WAS,6,44,9.9,0.597,0.7,0.2,0.0,9.9,4.8,18.0,0.0,2.0,8.4,11.2,0.1,0.0,0.1,0.087,-2.2,-1.8,-4.0,0.0,2021,winstca01
472,James Wiseman,C,19,GSW,20,419,15.1,0.5479999999999999,0.113,0.313,7.6,22.4,15.2,5.3,0.9,5.5,12.6,25.6,-0.2,0.7,0.5,0.057999999999999996,-3.5,-0.7,-4.1,-0.2,2021,wisemja01
473,Christian Wood,C,25,HOU,17,530,24.2,0.634,0.285,0.24,6.1,28.7,17.3,7.8,1.4,4.2,9.5,26.2,1.0,1.0,2.0,0.18,3.5,0.5,4.0,0.8,2021,woodch01
474,Robert Woodard,SF,21,SAC,6,17,23.0,0.547,0.273,0.182,19.1,32.5,25.8,0.0,0.0,0.0,7.8,32.3,0.0,0.0,0.0,0.009000000000000001,3.9,-5.9,-2.0,0.0,2021,woodaro01
475,Delon Wright,SG,28,DET,27,785,16.8,0.5579999999999999,0.301,0.35200000000000004,4.4,14.0,9.0,25.7,2.3,1.8,11.2,15.7,1.4,0.8,2.2,0.13699999999999998,1.5,1.4,2.8,0.9,2021,wrighde01
476,Thaddeus Young,PF,32,CHI,22,568,18.6,0.61,0.105,0.157,10.3,13.8,12.1,24.5,2.5,1.6,17.7,18.5,1.1,0.7,1.8,0.149,1.0,1.1,2.1,0.6,2021,youngth01
477,Trae Young,PG,22,ATL,25,866,22.3,0.5870000000000001,0.344,0.585,2.2,9.7,6.0,44.5,1.0,0.7,15.7,32.1,2.5,0.4,2.9,0.161,5.5,-1.5,3.9,1.3,2021,youngtr01
478,Cody Zeller,C,28,CHO,15,361,18.2,0.569,0.133,0.242,11.4,24.3,17.7,15.2,1.3,2.5,9.5,17.3,0.8,0.5,1.2,0.161,0.4,0.6,1.0,0.3,2021,zelleco01
479,Ivica Zubac,C,23,LAC,29,564,20.6,0.7240000000000001,0.006999999999999999,0.522,13.6,24.0,18.9,7.5,1.0,3.8,14.8,15.4,2.0,0.8,2.7,0.233,0.7,-0.3,0.4,0.3,2021,zubaciv01
